Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 69.0.3497.100,,2018-09-25 11:53:40,2018-09-25 11:53:46,"6,434s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-25 11:53:40,2018-09-25 11:53:46,"6,170s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-25 11:53:40,2018-09-25 11:53:43,"2,730s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-25 11:53:43,2018-09-25 11:53:45,"1,553s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 11:53:45,2018-09-25 11:53:45,"0,362s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 11:53:45,2018-09-25 11:53:45,"0,127s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 11:53:45,2018-09-25 11:53:45,"0,128s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 11:53:45,2018-09-25 11:53:46,"0,383s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-25 11:53:46,2018-09-25 11:53:46,"0,642s",PASSED
