Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 69.0.3497.100,,2018-09-24 16:31:21,2018-09-24 16:31:28,"7,122s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 16:31:22,2018-09-24 16:31:28,"6,828s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 16:31:22,2018-09-24 16:31:25,"3,202s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 16:31:25,2018-09-24 16:31:27,"1,695s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 16:31:27,2018-09-24 16:31:27,"0,356s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 16:31:27,2018-09-24 16:31:27,"0,150s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 16:31:27,2018-09-24 16:31:27,"0,134s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 16:31:27,2018-09-24 16:31:28,"0,393s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 16:31:28,2018-09-24 16:31:28,"0,651s",PASSED
