Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 69.0.3497.100,,2018-09-24 16:33:19,2018-09-24 16:33:26,"7,239s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 16:33:19,2018-09-24 16:33:26,"6,986s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 16:33:20,2018-09-24 16:33:23,"3,186s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 16:33:23,2018-09-24 16:33:25,"1,871s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 16:33:25,2018-09-24 16:33:25,"0,363s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 16:33:25,2018-09-24 16:33:25,"0,143s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 16:33:25,2018-09-24 16:33:25,"0,126s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 16:33:25,2018-09-24 16:33:26,"0,400s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 16:33:26,2018-09-24 16:33:26,"0,659s",PASSED
