Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 69.0.3497.100,,2018-09-24 11:40:32,2018-09-24 11:41:16,"43,809s",FAILED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 11:40:32,2018-09-24 11:40:39,"6,239s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 11:40:33,2018-09-24 11:40:35,"2,743s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 11:40:35,2018-09-24 11:40:37,"1,599s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:40:37,2018-09-24 11:40:37,"0,316s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:40:37,2018-09-24 11:40:37,"0,128s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:40:37,2018-09-24 11:40:37,"0,118s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:40:37,2018-09-24 11:40:38,"0,359s",PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-09-24 11:40:38,2018-09-24 11:40:38,"0,064s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 11:40:38,2018-09-24 11:40:39,"0,658s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 11:40:39,2018-09-24 11:41:15,"36,685s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 11:40:39,2018-09-24 11:40:40,"1,913s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 11:40:40,2018-09-24 11:40:43,"2,151s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:40:43,2018-09-24 11:40:43,"0,291s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:40:43,2018-09-24 11:40:43,"0,098s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:40:43,2018-09-24 11:40:43,"0,080s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:40:43,2018-09-24 11:40:43,"0,359s",PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-09-24 11:40:43,2018-09-24 11:41:15,"31,781s",FAILED
