Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 69.0.3497.100,,2018-09-24 12:01:04,2018-09-24 12:01:16,"11,959s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 12:01:04,2018-09-24 12:01:11,"6,929s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 12:01:05,2018-09-24 12:01:07,"2,721s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 12:01:07,2018-09-24 12:01:10,"2,200s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 12:01:10,2018-09-24 12:01:10,"0,522s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 12:01:10,2018-09-24 12:01:10,"0,123s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 12:01:10,2018-09-24 12:01:10,"0,121s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 12:01:10,2018-09-24 12:01:11,"0,363s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 12:01:11,2018-09-24 12:01:11,"0,640s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 12:01:11,2018-09-24 12:01:16,"4,777s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 12:01:11,2018-09-24 12:01:13,"1,921s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 12:01:13,2018-09-24 12:01:15,"1,394s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 12:01:15,2018-09-24 12:01:15,"0,314s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 12:01:15,2018-09-24 12:01:15,"0,092s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 12:01:15,2018-09-24 12:01:15,"0,081s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 12:01:15,2018-09-24 12:01:15,"0,336s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 12:01:15,2018-09-24 12:01:16,"0,626s",PASSED
