Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 69.0.3497.100,,2018-09-24 12:00:27,2018-09-24 12:00:38,"11,107s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 12:00:27,2018-09-24 12:00:33,"6,018s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 12:00:28,2018-09-24 12:00:30,"2,682s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 12:00:30,2018-09-24 12:00:32,"1,505s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 12:00:32,2018-09-24 12:00:32,"0,337s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 12:00:32,2018-09-24 12:00:32,"0,131s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 12:00:32,2018-09-24 12:00:32,"0,122s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 12:00:32,2018-09-24 12:00:33,"0,366s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 12:00:33,2018-09-24 12:00:33,"0,638s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 12:00:33,2018-09-24 12:00:38,"4,820s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 12:00:33,2018-09-24 12:00:35,"1,927s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 12:00:35,2018-09-24 12:00:37,"1,420s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 12:00:37,2018-09-24 12:00:37,"0,307s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 12:00:37,2018-09-24 12:00:37,"0,087s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 12:00:37,2018-09-24 12:00:37,"0,081s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 12:00:37,2018-09-24 12:00:38,"0,365s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 12:00:38,2018-09-24 12:00:38,"0,623s",PASSED
