Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 69.0.3497.100,,2018-09-24 13:18:26,2018-09-24 13:18:32,"6,215s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 13:18:26,2018-09-24 13:18:32,"5,954s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 13:18:27,2018-09-24 13:18:29,"2,669s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 13:18:29,2018-09-24 13:18:31,"1,428s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 13:18:31,2018-09-24 13:18:31,"0,337s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 13:18:31,2018-09-24 13:18:31,"0,124s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 13:18:31,2018-09-24 13:18:31,"0,111s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 13:18:31,2018-09-24 13:18:32,"0,392s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 13:18:32,2018-09-24 13:18:32,"0,640s",PASSED
