Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 69.0.3497.100,,2018-09-24 11:21:38,2018-09-24 11:22:40,"1m - 2,432s",FAILED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 11:21:38,2018-09-24 11:21:57,"18,909s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 11:21:38,2018-09-24 11:21:41,"3,407s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 11:21:41,2018-09-24 11:21:43,"1,489s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:21:43,2018-09-24 11:21:43,"0,352s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:21:43,2018-09-24 11:21:43,"0,144s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:21:43,2018-09-24 11:21:44,"0,112s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:21:44,2018-09-24 11:21:44,"0,387s",PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-09-24 11:21:44,2018-09-24 11:21:57,"12,747s",FAILED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 11:21:57,2018-09-24 11:22:03,"6,067s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 11:21:57,2018-09-24 11:22:00,"2,958s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 11:22:00,2018-09-24 11:22:01,"1,441s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:22:01,2018-09-24 11:22:01,"0,302s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:22:01,2018-09-24 11:22:02,"0,133s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:22:02,2018-09-24 11:22:02,"0,133s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:22:02,2018-09-24 11:22:02,"0,378s",PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-09-24 11:22:02,2018-09-24 11:22:02,"0,061s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 11:22:02,2018-09-24 11:22:03,"0,659s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 11:22:03,2018-09-24 11:22:39,"36,522s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 11:22:03,2018-09-24 11:22:05,"2,181s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 11:22:05,2018-09-24 11:22:06,"1,523s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:22:06,2018-09-24 11:22:07,"0,332s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:22:07,2018-09-24 11:22:07,"0,127s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:22:07,2018-09-24 11:22:07,"0,111s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:22:07,2018-09-24 11:22:07,"0,395s",PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-09-24 11:22:07,2018-09-24 11:22:39,"31,846s",FAILED
