Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 69.0.3497.100,,2018-09-25 11:25:04,2018-09-25 11:25:12,"8,098s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-25 11:25:04,2018-09-25 11:25:12,"7,774s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-25 11:25:05,2018-09-25 11:25:08,"3,327s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-25 11:25:08,2018-09-25 11:25:10,"2,296s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 11:25:10,2018-09-25 11:25:11,"0,441s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 11:25:11,2018-09-25 11:25:11,"0,146s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 11:25:11,2018-09-25 11:25:11,"0,141s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 11:25:11,2018-09-25 11:25:11,"0,500s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-25 11:25:11,2018-09-25 11:25:12,"0,669s",PASSED
