Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 69.0.3497.100,,2018-09-24 11:59:00,2018-09-24 11:59:11,"11,123s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 11:59:00,2018-09-24 11:59:06,"5,932s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 11:59:01,2018-09-24 11:59:03,"2,687s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 11:59:03,2018-09-24 11:59:05,"1,452s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:59:05,2018-09-24 11:59:05,"0,316s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:59:05,2018-09-24 11:59:05,"0,128s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:59:05,2018-09-24 11:59:05,"0,122s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:59:05,2018-09-24 11:59:06,"0,359s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 11:59:06,2018-09-24 11:59:06,"0,635s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 11:59:06,2018-09-24 11:59:11,"4,909s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 11:59:06,2018-09-24 11:59:08,"1,907s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 11:59:08,2018-09-24 11:59:10,"1,456s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:59:10,2018-09-24 11:59:10,"0,342s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:59:10,2018-09-24 11:59:10,"0,105s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:59:10,2018-09-24 11:59:10,"0,081s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:59:10,2018-09-24 11:59:11,"0,386s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 11:59:11,2018-09-24 11:59:11,"0,622s",PASSED
