Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 69.0.3497.100,,2018-09-24 12:09:52,2018-09-24 12:10:04,"11,841s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 12:09:52,2018-09-24 12:09:58,"6,001s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 12:09:53,2018-09-24 12:09:55,"2,700s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 12:09:55,2018-09-24 12:09:57,"1,456s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 12:09:57,2018-09-24 12:09:57,"0,352s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 12:09:57,2018-09-24 12:09:57,"0,125s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 12:09:57,2018-09-24 12:09:57,"0,115s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 12:09:57,2018-09-24 12:09:58,"0,371s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 12:09:58,2018-09-24 12:09:58,"0,656s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 12:09:58,2018-09-24 12:10:04,"5,580s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 12:09:58,2018-09-24 12:10:00,"1,907s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 12:10:00,2018-09-24 12:10:03,"2,209s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 12:10:03,2018-09-24 12:10:03,"0,318s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 12:10:03,2018-09-24 12:10:03,"0,081s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 12:10:03,2018-09-24 12:10:03,"0,074s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 12:10:03,2018-09-24 12:10:03,"0,362s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 12:10:03,2018-09-24 12:10:04,"0,622s",PASSED
