Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 69.0.3497.100,,2018-09-24 11:44:22,2018-09-24 11:44:52,"29,501s",FAILED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 11:44:23,2018-09-24 11:44:30,"6,808s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 11:44:23,2018-09-24 11:44:26,"3,307s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 11:44:26,2018-09-24 11:44:28,"1,482s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:44:28,2018-09-24 11:44:28,"0,354s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:44:28,2018-09-24 11:44:28,"0,160s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:44:28,2018-09-24 11:44:28,"0,135s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:44:28,2018-09-24 11:44:29,"0,388s",PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-09-24 11:44:29,2018-09-24 11:44:29,"0,068s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 11:44:29,2018-09-24 11:44:30,"0,673s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 11:44:30,2018-09-24 11:44:51,"21,862s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 11:44:30,2018-09-24 11:44:32,"2,158s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 11:44:32,2018-09-24 11:44:33,"1,392s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:44:33,2018-09-24 11:44:33,"0,326s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:44:33,2018-09-24 11:44:34,"0,104s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:44:34,2018-09-24 11:44:34,"0,090s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:44:34,2018-09-24 11:44:34,"0,366s",PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-09-24 11:44:34,2018-09-24 11:44:51,"17,416s",FAILED
