Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 69.0.3497.100,,2018-09-24 11:32:59,2018-09-24 11:34:19,"1m - 19,964s",FAILED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 11:32:59,2018-09-24 11:33:37,"37,489s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 11:32:59,2018-09-24 11:33:02,"2,980s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 11:33:02,2018-09-24 11:33:04,"1,568s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:33:04,2018-09-24 11:33:04,"0,314s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:33:04,2018-09-24 11:33:04,"0,125s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:33:04,2018-09-24 11:33:04,"0,097s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:33:04,2018-09-24 11:33:05,"0,385s",PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-09-24 11:33:05,2018-09-24 11:33:37,"31,783s",FAILED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 11:33:37,2018-09-24 11:33:42,"5,651s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 11:33:37,2018-09-24 11:33:39,"2,548s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 11:33:39,2018-09-24 11:33:41,"1,505s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:33:41,2018-09-24 11:33:41,"0,307s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:33:41,2018-09-24 11:33:41,"0,107s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:33:41,2018-09-24 11:33:41,"0,112s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:33:41,2018-09-24 11:33:42,"0,380s",PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-09-24 11:33:42,2018-09-24 11:33:42,"0,059s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 11:33:42,2018-09-24 11:33:42,"0,620s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 11:33:42,2018-09-24 11:34:18,"35,952s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 11:33:42,2018-09-24 11:33:44,"1,899s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 11:33:44,2018-09-24 11:33:46,"1,547s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:33:46,2018-09-24 11:33:46,"0,360s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:33:46,2018-09-24 11:33:46,"0,101s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:33:46,2018-09-24 11:33:46,"0,093s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:33:46,2018-09-24 11:33:47,"0,353s",PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-09-24 11:33:47,2018-09-24 11:34:18,"31,590s",FAILED
