Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 69.0.3497.100,,2018-09-24 11:41:42,2018-09-24 11:42:24,"42,903s",FAILED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 11:41:42,2018-09-24 11:41:48,"6,027s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 11:41:42,2018-09-24 11:41:45,"2,706s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 11:41:45,2018-09-24 11:41:46,"1,472s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:41:46,2018-09-24 11:41:47,"0,327s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:41:47,2018-09-24 11:41:47,"0,126s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:41:47,2018-09-24 11:41:47,"0,117s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:41:47,2018-09-24 11:41:47,"0,339s",PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-09-24 11:41:47,2018-09-24 11:41:47,"0,068s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 11:41:47,2018-09-24 11:41:48,"0,635s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 11:41:48,2018-09-24 11:42:24,"35,967s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 11:41:48,2018-09-24 11:41:50,"1,913s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 11:41:50,2018-09-24 11:41:51,"1,422s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:41:51,2018-09-24 11:41:51,"0,325s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:41:51,2018-09-24 11:41:52,"0,087s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:41:52,2018-09-24 11:41:52,"0,081s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:41:52,2018-09-24 11:41:52,"0,347s",PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-09-24 11:41:52,2018-09-24 11:42:24,"31,781s",FAILED
