Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 69.0.3497.100,,2018-09-25 11:54:44,2018-09-25 11:54:51,"6,715s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-25 11:54:44,2018-09-25 11:54:51,"6,463s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-25 11:54:45,2018-09-25 11:54:47,"2,660s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-25 11:54:47,2018-09-25 11:54:49,"1,837s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 11:54:49,2018-09-25 11:54:49,"0,363s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 11:54:49,2018-09-25 11:54:50,"0,133s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 11:54:50,2018-09-25 11:54:50,"0,125s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 11:54:50,2018-09-25 11:54:50,"0,445s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-25 11:54:50,2018-09-25 11:54:51,"0,630s",PASSED
