Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 69.0.3497.100,,2018-09-24 13:21:44,2018-09-24 13:21:50,"6,163s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 13:21:44,2018-09-24 13:21:50,"5,914s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 13:21:45,2018-09-24 13:21:47,"2,676s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 13:21:47,2018-09-24 13:21:49,"1,471s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 13:21:49,2018-09-24 13:21:49,"0,329s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 13:21:49,2018-09-24 13:21:49,"0,126s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 13:21:49,2018-09-24 13:21:49,"0,120s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 13:21:49,2018-09-24 13:21:50,"0,340s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 13:21:50,2018-09-24 13:21:50,"0,626s",PASSED
