Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 69.0.3497.100,,2018-09-24 15:51:36,2018-09-24 15:51:43,"6,874s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 15:51:37,2018-09-24 15:51:43,"6,625s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 15:51:37,2018-09-24 15:51:40,"3,243s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 15:51:40,2018-09-24 15:51:42,"1,469s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 15:51:42,2018-09-24 15:51:42,"0,345s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 15:51:42,2018-09-24 15:51:42,"0,150s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 15:51:42,2018-09-24 15:51:42,"0,129s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 15:51:42,2018-09-24 15:51:43,"0,363s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 15:51:43,2018-09-24 15:51:43,"0,669s",PASSED
