Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 69.0.3497.100,,2018-09-24 13:17:12,2018-09-24 13:17:18,"6,205s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 13:17:12,2018-09-24 13:17:18,"5,936s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 13:17:12,2018-09-24 13:17:15,"2,645s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 13:17:15,2018-09-24 13:17:16,"1,473s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 13:17:16,2018-09-24 13:17:17,"0,319s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 13:17:17,2018-09-24 13:17:17,"0,131s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 13:17:17,2018-09-24 13:17:17,"0,121s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 13:17:17,2018-09-24 13:17:17,"0,368s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 13:17:17,2018-09-24 13:17:18,"0,635s",PASSED
