Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 69.0.3497.100,,2018-09-24 12:06:26,2018-09-24 12:06:38,"11,538s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 12:06:26,2018-09-24 12:06:33,"6,514s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 12:06:27,2018-09-24 12:06:29,"2,708s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 12:06:29,2018-09-24 12:06:31,"1,947s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 12:06:31,2018-09-24 12:06:32,"0,341s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 12:06:32,2018-09-24 12:06:32,"0,122s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 12:06:32,2018-09-24 12:06:32,"0,122s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 12:06:32,2018-09-24 12:06:32,"0,359s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 12:06:32,2018-09-24 12:06:33,"0,652s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 12:06:33,2018-09-24 12:06:38,"4,756s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 12:06:33,2018-09-24 12:06:35,"1,908s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 12:06:35,2018-09-24 12:06:36,"1,412s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 12:06:36,2018-09-24 12:06:37,"0,289s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 12:06:37,2018-09-24 12:06:37,"0,096s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 12:06:37,2018-09-24 12:06:37,"0,081s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 12:06:37,2018-09-24 12:06:37,"0,331s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 12:06:37,2018-09-24 12:06:38,"0,630s",PASSED
