Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 69.0.3497.100,,2018-09-24 11:45:53,2018-09-24 11:46:38,"44,701s",FAILED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 11:45:53,2018-09-24 11:46:00,"7,022s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 11:45:54,2018-09-24 11:45:57,"3,309s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 11:45:57,2018-09-24 11:45:58,"1,619s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:45:58,2018-09-24 11:45:59,"0,378s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:45:59,2018-09-24 11:45:59,"0,163s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:45:59,2018-09-24 11:45:59,"0,153s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:45:59,2018-09-24 11:46:00,"0,404s",PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-09-24 11:46:00,2018-09-24 11:46:00,"0,066s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 11:46:00,2018-09-24 11:46:00,"0,660s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 11:46:00,2018-09-24 11:46:37,"36,713s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 11:46:00,2018-09-24 11:46:02,"2,148s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 11:46:02,2018-09-24 11:46:04,"1,532s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:46:04,2018-09-24 11:46:04,"0,349s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:46:04,2018-09-24 11:46:04,"0,100s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:46:04,2018-09-24 11:46:05,"0,087s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:46:05,2018-09-24 11:46:05,"0,391s",PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-09-24 11:46:05,2018-09-24 11:46:37,"32,094s",FAILED
