Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 69.0.3497.100,,2018-09-24 13:15:22,2018-09-24 13:15:34,"12,326s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 13:15:22,2018-09-24 13:15:29,"6,789s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 13:15:22,2018-09-24 13:15:26,"3,317s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 13:15:26,2018-09-24 13:15:27,"1,484s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 13:15:27,2018-09-24 13:15:28,"0,374s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 13:15:28,2018-09-24 13:15:28,"0,164s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 13:15:28,2018-09-24 13:15:28,"0,154s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 13:15:28,2018-09-24 13:15:28,"0,387s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 13:15:28,2018-09-24 13:15:29,"0,657s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 13:15:29,2018-09-24 13:15:34,"5,242s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 13:15:29,2018-09-24 13:15:31,"2,179s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 13:15:31,2018-09-24 13:15:33,"1,473s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 13:15:33,2018-09-24 13:15:33,"0,337s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 13:15:33,2018-09-24 13:15:33,"0,104s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 13:15:33,2018-09-24 13:15:33,"0,099s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 13:15:33,2018-09-24 13:15:34,"0,376s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 13:15:34,2018-09-24 13:15:34,"0,664s",PASSED
