Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 69.0.3497.100,,2018-09-25 12:38:34,2018-09-25 12:38:41,"6,949s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-25 12:38:34,2018-09-25 12:38:41,"6,698s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-25 12:38:34,2018-09-25 12:38:37,"3,149s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-25 12:38:37,2018-09-25 12:38:39,"1,579s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 12:38:39,2018-09-25 12:38:39,"0,384s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 12:38:39,2018-09-25 12:38:40,"0,147s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 12:38:40,2018-09-25 12:38:40,"0,136s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 12:38:40,2018-09-25 12:38:40,"0,425s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-25 12:38:40,2018-09-25 12:38:41,"0,648s",PASSED
