Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 69.0.3497.100,,2018-09-24 15:20:34,2018-09-24 15:20:42,"7,807s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 15:20:34,2018-09-24 15:20:42,"7,525s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 15:20:34,2018-09-24 15:20:37,"2,675s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 15:20:37,2018-09-24 15:20:40,"2,570s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 15:20:40,2018-09-24 15:20:40,"0,533s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 15:20:40,2018-09-24 15:20:40,"0,126s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 15:20:40,2018-09-24 15:20:41,"0,131s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 15:20:41,2018-09-24 15:20:41,"0,628s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 15:20:41,2018-09-24 15:20:42,"0,639s",PASSED
