Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 69.0.3497.100,,2018-09-24 11:42:25,2018-09-24 11:43:10,"44,346s",FAILED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 11:42:26,2018-09-24 11:42:32,"6,529s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 11:42:26,2018-09-24 11:42:29,"3,007s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 11:42:29,2018-09-24 11:42:30,"1,479s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:42:30,2018-09-24 11:42:31,"0,356s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:42:31,2018-09-24 11:42:31,"0,167s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:42:31,2018-09-24 11:42:31,"0,143s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:42:31,2018-09-24 11:42:31,"0,362s",PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-09-24 11:42:31,2018-09-24 11:42:32,"0,071s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 11:42:32,2018-09-24 11:42:32,"0,681s",PASSED
,,,,,,
Test Cases/TestCase4,Chrome 69.0.3497.100,,2018-09-24 11:42:32,2018-09-24 11:43:09,"36,839s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 11:42:32,2018-09-24 11:42:34,"2,182s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 11:42:34,2018-09-24 11:42:36,"1,773s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:42:36,2018-09-24 11:42:36,"0,308s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:42:36,2018-09-24 11:42:37,"0,102s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 11:42:37,2018-09-24 11:42:37,"0,089s",PASSED
click,Chrome 69.0.3497.100,,2018-09-24 11:42:37,2018-09-24 11:42:37,"0,343s",PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-09-24 11:42:37,2018-09-24 11:43:09,"32,031s",FAILED
